,network,node,k,ke,keN,s,sN,kc,kcN,bias
0,Arabidopsis thaliana Cell Cycle,KRP1,5,2.109375,0.421875,1.4375,0.2875,0.671875,0.13437500000000002,0.65625
0,Arabidopsis thaliana Cell Cycle,CYCB1;1,8,1.8922526041666679,0.23653157552083348,1.328125,0.166015625,0.5641276041666679,0.07051595052083348,0.39453125
0,Arabidopsis thaliana Cell Cycle,E2Fe,6,1.665364583333334,0.277560763888889,1.0,0.16666666666666666,0.6653645833333339,0.11089409722222235,0.828125
0,Arabidopsis thaliana Cell Cycle,RBR,5,2.140625,0.428125,1.5625,0.3125,0.578125,0.11562499999999998,0.46875
0,Arabidopsis thaliana Cell Cycle,CYCD3;1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Arabidopsis thaliana Cell Cycle,E2Fa,4,2.0,0.5,1.5,0.375,0.5,0.125,0.5625
0,Arabidopsis thaliana Cell Cycle,SCF,6,1.87109375,0.3118489583333333,1.3125,0.21875,0.55859375,0.09309895833333331,0.328125
0,Arabidopsis thaliana Cell Cycle,E2Fc,6,2.263020833333333,0.37717013888888884,1.5625,0.2604166666666667,0.700520833333333,0.11675347222222215,0.546875
0,Arabidopsis thaliana Cell Cycle,APC/C,5,1.770833333333333,0.35416666666666663,1.3125,0.2625,0.45833333333333304,0.09166666666666662,0.40625
0,Arabidopsis thaliana Cell Cycle,MYB3R1/4,4,1.625,0.40625,1.25,0.3125,0.375,0.09375,0.5625
0,Arabidopsis thaliana Cell Cycle,CYCA2;3,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Arabidopsis thaliana Cell Cycle,E2Fb,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Arabidopsis thaliana Cell Cycle,CDKB1;1,7,1.699869791666666,0.24283854166666657,1.078125,0.15401785714285715,0.6217447916666661,0.08882068452380942,0.7890625
0,Aurora Kinase A in Neuroblastoma,PP2A,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Aurora Kinase A in Neuroblastoma,STMN,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,CDC25B,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Aurora Kinase A in Neuroblastoma,CentrosomeMat,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Aurora Kinase A in Neuroblastoma,PLK1,5,1.8958333333333335,0.3791666666666667,1.3125,0.2625,0.5833333333333335,0.1166666666666667,0.71875
0,Aurora Kinase A in Neuroblastoma,CDK1CCNBComplex,4,1.625,0.40625,1.25,0.3125,0.375,0.09375,0.4375
0,Aurora Kinase A in Neuroblastoma,hCPEB,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,TPX2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,AURKAActive,7,2.065104166666665,0.29501488095238076,1.328125,0.18973214285714285,0.7369791666666652,0.10528273809523792,0.2578125
0,Aurora Kinase A in Neuroblastoma,NEDD9,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,ENSA,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,Cytokinesis,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Aurora Kinase A in Neuroblastoma,PP1,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Aurora Kinase A in Neuroblastoma,MT,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,SpindleAssembly,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Aurora Kinase A in Neuroblastoma,WEE1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,BORA,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Aurora Kinase A in Neuroblastoma,AURKAPresent,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,GWL_MASTL,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Aurora Kinase A in Neuroblastoma,AJUBA,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,GSK3B,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,MTCanAct,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Aurora Kinase A in Neuroblastoma,STMNCanAct,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,NE_Bacterium,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,Th2II_TRetortaeformis,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,B bronchiseptica and T retortaeformis coinfection,Th2II_Bacterium,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,B bronchiseptica and T retortaeformis coinfection,MPI_Bacterium,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,B bronchiseptica and T retortaeformis coinfection,TTSSII,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,Th1II_Bacterium,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,B bronchiseptica and T retortaeformis coinfection,IgA_Bacterium,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,B bronchiseptica and T retortaeformis coinfection,Th2I_Bacterium,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,Oag,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,IL10I_Bacterium,4,1.520833333333333,0.38020833333333326,1.0,0.25,0.520833333333333,0.13020833333333326,0.8125
0,B bronchiseptica and T retortaeformis coinfection,TNE,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,TrII,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,B bronchiseptica and T retortaeformis coinfection,Th1II_TRetortaeformis,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,B bronchiseptica and T retortaeformis coinfection,NE_TRetortaeformis,5,2.109375,0.421875,1.4375,0.2875,0.671875,0.13437500000000002,0.34375
0,B bronchiseptica and T retortaeformis coinfection,DCII_Bacterium,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,DP,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B bronchiseptica and T retortaeformis coinfection,IgA_TRetortaeformis,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B bronchiseptica and T retortaeformis coinfection,DCI_Bacterium,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,B bronchiseptica and T retortaeformis coinfection,EC_TRetortaeformis,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,Bb,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B bronchiseptica and T retortaeformis coinfection,IFNg_Bacterium,5,1.583333333333333,0.3166666666666666,1.0625,0.2125,0.520833333333333,0.1041666666666666,0.78125
0,B bronchiseptica and T retortaeformis coinfection,IgG,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,IL4I,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,IL5,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,EC_Bacterium,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,TrI_Bacterium,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,TTSSI,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,B bronchiseptica and T retortaeformis coinfection,EL,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B bronchiseptica and T retortaeformis coinfection,IgE,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,B bronchiseptica and T retortaeformis coinfection,IL4II,8,1.892252604166667,0.23653157552083337,1.328125,0.166015625,0.564127604166667,0.07051595052083337,0.60546875
0,B bronchiseptica and T retortaeformis coinfection,Th2I_TRetortaeformis,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,IgG_Bacterium,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,Th1I_Bacterium,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,EL2,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,B bronchiseptica and T retortaeformis coinfection,DCII_TRetortaeformis,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,DCI_TRetortaeformis,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,T0,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,IL10I,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,PIC,6,1.578125,0.2630208333333333,1.0625,0.17708333333333334,0.515625,0.08593749999999997,0.234375
0,B bronchiseptica and T retortaeformis coinfection,PH,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B bronchiseptica and T retortaeformis coinfection,BC_TRetortaeformis,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,AgAb_Bacterium,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,B bronchiseptica and T retortaeformis coinfection,Th1I_TRetortaeformis,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B bronchiseptica and T retortaeformis coinfection,TEL,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,IFNgI,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.875
0,B bronchiseptica and T retortaeformis coinfection,AP,6,1.4515624999999996,0.24192708333333326,0.625,0.10416666666666667,0.8265624999999996,0.1377604166666666,0.078125
0,B bronchiseptica and T retortaeformis coinfection,Cb,4,2.0,0.5,1.5,0.375,0.5,0.125,0.4375
0,B bronchiseptica and T retortaeformis coinfection,BC_Bacterium,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,AD,5,1.3984375,0.2796875,0.6875,0.1375,0.7109375,0.14218749999999997,0.09375
0,B bronchiseptica and T retortaeformis coinfection,IFNgII,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,B bronchiseptica and T retortaeformis coinfection,IL13,5,1.3984375,0.2796875,0.6875,0.1375,0.7109375,0.14218749999999997,0.90625
0,B bronchiseptica and T retortaeformis coinfection,IL12II,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,B bronchiseptica and T retortaeformis coinfection,IS,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,STAT6,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,IL-21R,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,NF-kB,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,BCR,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,IL-2R,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,Bach2,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B cell differentiation,STAT3,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,CD40,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,Pax5,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,B cell differentiation,Bcl6,7,1.5166666666666666,0.21666666666666665,0.734375,0.10491071428571429,0.7822916666666666,0.11175595238095236,0.1015625
0,B cell differentiation,ERK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,Blimp1,6,1.4453125,0.24088541666666666,0.75,0.125,0.6953125,0.11588541666666666,0.109375
0,B cell differentiation,STAT5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,IL-4R,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,AID,4,1.6979166666666665,0.42447916666666663,1.25,0.3125,0.4479166666666665,0.11197916666666663,0.3125
0,B cell differentiation,Irf4,4,1.697916666666667,0.42447916666666674,1.25,0.3125,0.44791666666666696,0.11197916666666674,0.6875
0,B cell differentiation,XBP1,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,B cell differentiation,CD40L,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,IL-21,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,IL-2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,Ag,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,B cell differentiation,IL-4,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,IFNgI,5,1.7708333333333335,0.3541666666666667,1.3125,0.2625,0.4583333333333335,0.09166666666666667,0.40625
0,Bordetella bronchiseptica,IgA,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Bordetella bronchiseptica,IL10II,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,IgG,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Bordetella bronchiseptica,T0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,IL4I,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,TTSSII,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,Th1II,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bordetella bronchiseptica,IL10I,4,1.520833333333333,0.38020833333333326,1.0,0.25,0.520833333333333,0.13020833333333326,0.8125
0,Bordetella bronchiseptica,AP,6,1.4515624999999996,0.24192708333333326,0.625,0.10416666666666667,0.8265624999999996,0.1377604166666666,0.078125
0,Bordetella bronchiseptica,EC,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,Th2I,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,Bb,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bordetella bronchiseptica,PIC,4,1.625,0.40625,1.25,0.3125,0.375,0.09375,0.4375
0,Bordetella bronchiseptica,TrII,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bordetella bronchiseptica,MPI,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Bordetella bronchiseptica,C,4,2.0,0.5,1.5,0.375,0.5,0.125,0.4375
0,Bordetella bronchiseptica,Th2II,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bordetella bronchiseptica,TrI,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,Oag,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,IL12II,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bordetella bronchiseptica,AgAb,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Bordetella bronchiseptica,DCI,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Bordetella bronchiseptica,DCII,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,IFNgII,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,TTSSI,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bordetella bronchiseptica,BC,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Bordetella bronchiseptica,NE,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bordetella bronchiseptica,IL4II,5,1.59375,0.31875,0.9375,0.1875,0.65625,0.13124999999999998,0.15625
0,Bordetella bronchiseptica,PH,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bordetella bronchiseptica,IL12I,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bordetella bronchiseptica,DP,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bordetella bronchiseptica,Th1I,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,BID,5,1.583333333333333,0.3166666666666666,1.0625,0.2125,0.520833333333333,0.1041666666666666,0.21875
0,Bortezomib Responses in U266 Human Myeloma Cells,p21,5,1.125,0.225,0.3125,0.0625,0.8125,0.1625,0.03125
0,Bortezomib Responses in U266 Human Myeloma Cells,XIAP,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,Bortezomib Responses in U266 Human Myeloma Cells,Cl_PARP,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,JNK,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bortezomib Responses in U266 Human Myeloma Cells,Cas3,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Bortezomib Responses in U266 Human Myeloma Cells,JAK1,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bortezomib Responses in U266 Human Myeloma Cells,RIP,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.625
0,Bortezomib Responses in U266 Human Myeloma Cells,BCL2,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,Bortezomib Responses in U266 Human Myeloma Cells,PIP3,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bortezomib Responses in U266 Human Myeloma Cells,CIAP,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,MEKK2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,MDM,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Bortezomib Responses in U266 Human Myeloma Cells,MYC,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.875
0,Bortezomib Responses in U266 Human Myeloma Cells,DNAdam,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Bortezomib Responses in U266 Human Myeloma Cells,p53,4,2.0,0.5,1.5,0.375,0.5,0.125,0.5625
0,Bortezomib Responses in U266 Human Myeloma Cells,Cas8,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bortezomib Responses in U266 Human Myeloma Cells,TRAF3,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,Smac,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,MAPK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,Bclxl,5,1.3984375,0.2796875,0.6875,0.1375,0.7109375,0.14218749999999997,0.09375
0,Bortezomib Responses in U266 Human Myeloma Cells,FasL,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Bortezomib Responses in U266 Human Myeloma Cells,CYCD,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.875
0,Bortezomib Responses in U266 Human Myeloma Cells,ATM,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Bortezomib Responses in U266 Human Myeloma Cells,DNAPK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,pNFKB,4,1.25,0.3125,0.75,0.1875,0.5,0.125,0.875
0,Bortezomib Responses in U266 Human Myeloma Cells,CDK6,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,NIK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,PTEN,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,Fas,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Bortezomib Responses in U266 Human Myeloma Cells,STAT3,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,GROWTH,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,MEK1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,RAF,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,Cas9,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Bortezomib Responses in U266 Human Myeloma Cells,Prot,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,pIKB,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,Apo,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,Cytc,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,CDK2,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Bortezomib Responses in U266 Human Myeloma Cells,gp130,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,BAD,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,MEKK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,IKK,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.625
0,Bortezomib Responses in U266 Human Myeloma Cells,CYCE,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Bortezomib Responses in U266 Human Myeloma Cells,JAK2,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
